ssn,f_name,minit,l_name,job_title,salary,b_date,gender,education,zip_code,city,street
33965967,ahmed,G,Hussein,"security guard",7000,2000-05-04,M,"Bechelor of commerce",11511,"Cairo main","No 1 bdel Khalek Tharwat St. - Ataba Square"
37933718,mohamed,H," Karim","security guard",7100,1998-08-09,M,"Bechelor of commerce",11765,"Nasr City","St. Ahmed Fouad Naseem - Behind the Workforce - Nasr City - Cairo"
67349879,khaled,D,Tareq,"security guard",7800,2000-12-27,M,"Bechelor of commerce",11728,Maadi,"Street 9 - Maadi"
85419647,Mohamed,S,Abdelrahman,"security guard",7200,1992-01-26,M,secondary,11522,Ramses,"No. 57 amses Street - Azbakia"
10549059," Youssef",F,Adama,"security guard",7100,2000-03-12,M,secondary,11561,"El Zamalek","No 3 Brazil St. - El Zamalek"
37785122," Ahmed",G,Bakary,"security guard",7905,2000-03-22,M,"Bechelor of rights",11757,Heliopolis,"Post Street - El Korba - Masr El Gadeda"
78726579," Mahmoud",J,Abdoulaye,"security guard",6800,2005-09-16,M,secondary,11835,"5th Settlement New Cairo","First Quarter - 5th Settlement - Nasr City"
51082588," Mustafa",F,Modibo,"security guard",5200,1970-11-24,M,"Bechelor of rights",11571,"Mokattam City","Fountain Square - Mokattam City"
91176872,Yassin,S,Oumar,"security guard",7900,1980-05-21,M,secondary,11837,"El Shorouq City","El Shorouq City - Commercial Market"
95317540,Taha,A,Sekou,"security guard",5500,1975-01-15,M,"Bechelor of arts",11574,"Tawfeer El Alfy","No 1 El Alfy St. - Downtown Cairo"
16227346,Khaled,F,Wassim,mechanic,5000,1970-01-03,M,secondary,11631,"Rod El Farag","No 137 Ebeid Street - Rod El Farag - Cairo"
38551291,Hamza,S,Ali,mechanic,5500,1972-12-03,M,secondary,11841,"Rehab City","Rehab City - New Cairo"
45799284,Bilal,S,Amine,mechanic,5800,1966-02-10,M,secondary,11632,"Old Egypt","Police Street - Next to The Old Egypt Section"
14019955,Ibrahim,A,Medhat,mechanic,5100,1964-05-27,M,secondary,11768,"District VI Nasr City","No 68 Khalifa Al-Zafar Street - 6th District - Nasr City"
74394299," Hassan",W,Youssef,mechanic,4500,1973-09-10,M,secondary,11672,"Shubra Misr","No 81 Shubra Street - Cairo"
30181194,Hussein,E,Aziz,mechanic,5900,1976-11-28,M,secondary,11843,"New Nozha","Division of the city flower - End of the New Nozha"
72148359," Karim",R,Karim,mechanic,6000,1970-09-16,M,secondary,11722,"Helwan pools","No 33 Mohamed Sayed Ahmed Street - Helwan"
53292373,Tareq,W,ahmed,mechanic,5200,1973-06-14,M,secondary,11828,"Obour City","First Quarter next to the City Transit system"
22444081,Abdelrahman,F,mohamed,mechanic,5600,1989-07-23,M,secondary,11772,"Ain Shams","El Mahdy Street - Ahmed Esmat - Ain Shams"
45771026,Ali,S,khaled,mechanic,5500,1986-02-01,M,"commercial diplome",11725,"hadayeq El Zaitoun","   in front of hadayeq El Zaitoun Metro Station - Cairo"
94101071,Omar,G,Mohamed,mechanic,4900,1959-02-11,M,"commercial diplome",0,"Al Asmarat","  Al Asmarat District - Cairo"
25394954,Halim,D," Youssef",mechanic,5800,1988-06-19,M,"commercial diplome",11556,"The Egyptian Museum","Egyptian Museum Building - Tahrir Square"
26392847,Murad,S,walid,mechanic,5000,1976-01-14,M,"commercial diplome",11555,"Manial El Roda West","No 115 Abdul Aziz Al Saude - El Manial"
61397430,Selim,A,abdelnassar,mechanic,5100,2003-08-04,M,"commercial diplome",11554,"Abu Saud Old Egypt","East of the tunnel - field of ancient Egypt"
64399581,Abdallah,H,ismail,mechanic,4700,1989-03-15,M,"industrial diplome",11553,"Manial El Rawda","No 9 El Manial Palace - Manial El Rawda"
40322395,Abdallah,Z,Amir ,mechanic,4000,1984-11-02,M,"industrial diplome",11552,"Journalists Syndicate","Khaliq TharwatSt. - Journalists Syndicate building - Uzbek Cairo"
48374362,Peter,R," George",mechanic,4000,1978-10-18,M,"industrial diplome",11551,"Missions Islamic city","Islamic Missions City - study"
24870503," Pierre",I,adel,mechanic,4400,1970-01-01,M,"industrial diplome",11549,"Elsabel Land","St. workshops telephone St. - Elsabel Land Shubra"
75030339," George",G,nasim,mechanic,4300,1971-02-02,M,"industrial diplome",11541,"Cairos main parcels","Ataba Square - post office building"
81920258,John,T," Kirollos",mechanic,5000,1972-03-03,M,"industrial diplome",11536,"Cairo Sporting Club","Ahmed Maher Square island - Cairo"
44198755," Mina",P,Habib,engineer,8000,1973-04-04,M,"Bechelor of arts in aeronautical and space engineering",11535,"Second Abbasid","No. 2 Elsarayat St. Abdu Pasha Square"
91641034," Beshoi",L," Fadi",engineer,8900,1974-05-05,M,"Bechelor of arts in aeronautical and space engineering",11534,"Ministry of Tourism","No. 5 Adly Street - Ministry of Tourism / Azbakiya"
22675891," Kirollos",G," Beshoi",engineer,8500,1975-06-06,M,"Bechelor of arts in aeronautical and space engineering",11527,"Republican Palace dome","Inside the Republican Palace - Gardens dome"
80459206," Mark",F,metwally,engineer,8100,1976-07-07,M,"Bechelor of arts in aeronautical and space engineering",11524,"Ministry of Education","The Ministry of Education Building"
75087307," Fadi",S,John,engineer,8700,1977-08-08,M,"Bechelor of arts in aeronautical and space engineering",11523,Faggala,"No. 11 Sirajuddin St. Al-Fagala - Azbakiya"
93913838,Habib,A," Mina",captain,8000,1978-09-09,M,"Bachelor of aviation",11521,ElDawaeen,"No.15 Noubar Basha St. - Saida Zeinab - Cairo"
78715471,Amir,G,mounir,captain,8900,1979-10-10,M,"Bachelor of aviation",11518,"Mohamed Farid","No1 Mohamed Farid Street - Cairo"
17649414,Omar,S,adel,captain,8500,1980-11-11,M,"Bachelor of aviation",11516,"Magles Al Shaeb","Magles Al Shaeb St."
58733011,Abdelkader,L,nasim,captain,8100,1981-12-12,M,"Bachelor of aviation",11515,"Television ","Television building - Nile Corniche building - cairo"
77706885,Ahmed,K,shahin,captain,8700,1982-02-13,M,"Bachelor of aviation",11513,"Bab El Louk","  No.21 El Azhar St. Elfalaki field - Bab El Louk"
92233307,Mohammed,H,osama,captain,9000,1983-03-14,M,"Bachelor of aviation",11512,"tahrir complex","Tahrir complex - Tahrir Square Building - cairo"
37218044,Ali,G,islam,captain,9800,1984-04-15,M,"Bachelor of aviation",11554,"Abu Saud Old Egypt","East of the tunnel - field of ancient Egypt"
68422285,Said,F,hazem,captain,10000,1985-05-16,M,"Bachelor of aviation",11535,"Second Abbasid","No. 2 Elsarayat St. Abdu Pasha Square"
37128823,Ibrahim,S,metwally,copilot,8900,1986-06-17,M,"Bachelor of aviation",11536,"Cairo Sporting Club","Ahmed Maher Square island - Cairo"
92936760,Omar,R,essa,copilot,8500,1987-07-18,M,"Bachelor of aviation",11538,"the primary court of north cairo abassia","Abbasia Square , building of the primary court of north cairo"
22231509,Ahmed,E,Youssef,copilot,8100,1988-08-19,M,"Bachelor of aviation",11527,"Republican Palace dome","Inside the Republican Palace - Gardens dome"
44342315,Ali,W,Aziz,copilot,8700,1989-09-20,M,"Bachelor of aviation",11541,"Cairos main parcels","Ataba Square - post office building"
14891503,Hamza,Q,Karim,copilot,8000,1990-10-21,M,"Bachelor of aviation",11549,"Elsabel Land","St. workshops telephone St. - Elsabel Land Shubra"
27769776,Ibrahim,T,Aziz,copilot,8900,1991-11-22,M,"Bachelor of aviation",11551,"Missions Islamic city","Islamic Missions City - study"
73579221,Mahmoud,F,Karim,copilot,8500,1992-12-23,M,"Bachelor of aviation",11552,"Journalists Syndicate","Khaliq TharwatSt. - Journalists Syndicate building - Uzbek Cairo"
42940045,Abdallah,D,Mamadou,copilot,11000,1993-02-24,M,"Bachelor of aviation",11553,"Manial El Rawda","No 9 El Manial Palace - Manial El Rawda"
77018858,Tareq,S,"Fahd ",attendant,7000,1994-03-25,M,"diplome airline",11534,"Ministry of Tourism","No. 5 Adly Street - Ministry of Tourism / Azbakiya"
16455966,Khaled,Q,Taha,attendant,7800,1995-04-26,M,"diplome airline",11555,"Manial El Roda West","No 115 Abdul Aziz Al Saude - El Manial"
48845427,Mamadou,E,Khaled,attendant,7000,1996-05-27,M,"diplome airline",11556,"The Egyptian Museum","Egyptian Museum Building - Tahrir Square"
16248780,Moussa,W,Mahmoud,attendant,7800,1997-06-28,M,"diplome airline",11524,"Ministry of Education","The Ministry of Education Building"
68740701,Mahamadou,K,Abdallah,attendant,7000,1998-07-29,M,"diplome airline",11523,Faggala,"No. 11 Sirajuddin St. Al-Fagala - Azbakiya"
78720420,Adama,J,Tareq,attendant,7800,1999-08-02,M,"diplome airline",11521,ElDawaeen,"No.15 Noubar Basha St. - Saida Zeinab - Cairo"
80185212,Bakary,D,Khaled,attendant,9000,2000-09-03,M,"diplome airline",11518,"Mohamed Farid","No1 Mohamed Farid Street - Cairo"
71688757,Abdoulaye,A,Mamadou,attendant,7800,2001-10-04,M,"diplome airline",11516,"Magles Al Shaeb","Magles Al Shaeb St."
45970645,Modibo,K,Moussa,attendant,8000,2002-11-05,M,"diplome airline",11567,"Cairo Tower","Tower building / El Gazirah / Nile Palace"
86677298,Oumar,J,Mahamadou,attendant,7000,1975-09-29,M,"diplome airline",11552,"Journalists Syndicate","Khaliq TharwatSt. - Journalists Syndicate building - Uzbek Cairo"
48157238,Sekou,I,Adama,attendant,8000,1976-10-02,M,"diplome airline",11553,"Manial El Rawda","No 9 El Manial Palace - Manial El Rawda"
58673754,Souleymane,N,Bakary,attendant,7800,1977-11-03,M,"diplome airline",11554,"Abu Saud Old Egypt","East of the tunnel - field of ancient Egypt"
67115657,Mohamed,R,Belal,attendant,7500,1978-12-04,M,"diplome airline",11555,"Manial El Roda West","No 115 Abdul Aziz Al Saude - El Manial"
