phone,employee_ssn
1039039649,33965967
1192485990,37933718
1283299769,67349879
1567616924,85419647
1079076100,10549059
1591873351,37785122
1123191681,78726579
1296019590,51082588
1026570251,91176872
1221999364,95317540
1589301389,16227346
1051876728,38551291
1075789699,45799284
1028873261,14019955
1574594511,74394299
1296999915,30181194
1069981846,72148359
1075571722,53292373
1096396375,22444081
1013343724,45771026
1029117909,94101071
1164937590,25394954
1259330987,26392847
1560313020,61397430
1036459682,64399581
1544579684,40322395
1115781654,48374362
1289900856,24870503
1012825089,75030339
1246141527,81920258
1592894050,44198755
1064460127,91641034
1049185024,22675891
1091425357,80459206
1528738944,75087307
1230833746,93913838
1063768431,78715471
1046264552,17649414
1074242810,58733011
1072404408,77706885
1072359030,92233307
1114386080,37218044
1296792997,68422285
1512699879,37128823
1064149042,92936760
1533226259,22231509
1188658313,44342315
1248743634,14891503
1066485670,27769776
1240472727,73579221
1559397885,42940045
1075381249,77018858
1019094536,16455966
1088749138,48845427
1512441807,16248780
1274699109,68740701
1095823942,78720420
1086838868,80185212
1059301836,71688757
1067645325,45970645
1082868194,86677298
1163814845,48157238
1215999719,58673754
1546762346,67115657
1091955540,32747979
1556516574,95252321
1141417109,16161450
1218813535,42058942
1064986037,52864290
1235512949,57187381
1595843620,90105586
1095084053,74512931
1070058020,40140478
1057426015,21945556
1524262578,61081562
1295202393,72581757
1013504964,97494228
1092292371,32014634
1012422786,93763380
1038404028,12533980
1088232095,20046157
1135598136,95023229
1241346122,40533284
1545716654,26107194
1011914173,51552081
1555453016,74160746
1153640323,34285151
1225377798,35922745
1092479810,75134291
1229875980,30913540
1581059839,96884121
1093244809,64820357
1080760458,60787775
1019646221,78310572
1581226043,99541637
1243077803,92161552
1055814761,22086526
1044648441,37995831
1048603116,79021788
1069596622,68878821
1048963130,75001883
1167510688,60753431
1247870595,18060107
1519430424,92079146
1078752855,88635327
1587014161,36405055
1169037788,44030574
1220814185,24330910
1063690119,19285567
1289434122,43040787
1560621578,29123378
1048031766,17269439
1095315692,54896683
1046119030,52251241
1517476255,44725567
1217568342,36969958
1012707109,63530617
1044040290,39849186
1082246395,31751135
1078220765,62992334
1090039986,10549059
1115973191,37785122
1230291668,78726579
1591080469,51082588
1040472236,91176872
1556910218,95317540
1195666959,16227346
1257667909,38551291
1079180025,45799284
1288120228,14019955
1598931454,60753431
1012352172,18060107
1065572003,92079146
1096183937,88635327
1559122222,36405055
1243014567,44030574
1047510052,24330910
1081354510,19285567
1059775650,43040787
1061191196,29123378
1040033386,17269439
1177506340,72581757
1269947916,97494228
1536826206,32014634
1082076526,93763380
1580482075,12533980
1183736964,20046157
1259224028,95023229
1085359612,40533284
1266481642,26107194
1543584751,44342315
1013356957,14891503
1064361571,27769776
1083487972,73579221
1548889708,42940045
1220927985,77018858
1053440990,16455966
1069667404,48845427
1090138250,16248780
